id_cliente,tipo_pessoa,tipo_imovel,quantidade_equipamentos,diversidade_equipamentos,horas_uso_diario_media,dias_uso_mes_media,faixa_uso_diario,faixa_dias_uso,qtd_banheiro,qtd_climatizacao,qtd_cozinha,qtd_entretenimento,qtd_iluminacao,qtd_industrial,qtd_limpeza,qtd_ti,consumo_total_kwh
27,PF,Comercial,61,6,8.033333333333333,19.166666666666668,Alto,Frequente,0,9,22,0,11,0,0,19,8893.0
28,PF,Comercial,81,8,8.0875,21.875,Alto,Frequente,0,25,15,9,8,0,0,24,6216.96
29,PF,Residencial,19,8,7.0375,23.75,Medio,Frequente,3,5,6,3,0,0,2,0,2712.161
30,PF,Comercial,55,5,7.06,20.0,Medio,Frequente,0,14,18,0,14,0,0,9,7065.64
31,PF,Residencial,10,7,7.842857142857143,20.428571428571427,Medio,Frequente,0,1,6,2,0,0,0,1,850.577
32,PF,Residencial,11,4,3.8,23.0,Baixo,Frequente,0,0,8,0,0,0,0,3,935.04
33,PF,Residencial,8,5,6.08,22.0,Medio,Frequente,0,2,5,1,0,0,0,0,809.6
34,PJ,Residencial,14,7,7.6571428571428575,23.428571428571427,Medio,Frequente,0,0,9,1,0,0,2,2,1925.4399999999998
35,PJ,Residencial,11,5,7.720000000000001,24.2,Medio,Frequente,0,3,3,5,0,0,0,0,1451.58
36,PJ,Comercial,39,5,7.92,26.4,Medio,Constante,0,4,19,0,9,0,0,7,5535.36
37,PF,Residencial,14,7,8.6,24.857142857142858,Alto,Frequente,1,1,6,3,0,0,3,0,2658.27
38,PF,Comercial,57,7,8.571428571428571,23.285714285714285,Alto,Frequente,0,16,17,8,0,0,0,16,2727.484
39,PF,Residencial,8,4,5.15,21.5,Medio,Frequente,2,1,2,0,0,0,3,0,520.996
40,PF,Residencial,6,3,8.0,22.0,Medio,Frequente,0,0,4,0,0,0,2,0,773.568
41,PF,Residencial,8,5,6.0600000000000005,21.6,Medio,Frequente,0,1,5,0,0,0,0,2,226.264
42,PF,Comercial,56,6,8.5,24.166666666666668,Alto,Frequente,0,23,12,0,8,0,0,13,8540.175
43,PF,Residencial,8,4,6.125,24.5,Medio,Frequente,0,3,5,0,0,0,0,0,1243.4560000000004
44,PJ,Comercial,53,8,5.5249999999999995,24.375,Medio,Frequente,0,14,15,7,5,0,0,12,6169.276
45,PF,Comercial,38,4,7.550000000000001,20.0,Medio,Frequente,0,20,0,14,0,0,0,4,2366.0599999999995
46,PF,Comercial,73,8,6.0,21.25,Medio,Frequente,0,12,19,13,2,0,0,27,4820.67
47,PF,Residencial,17,8,6.2,21.875,Medio,Frequente,5,0,9,1,0,0,0,2,3985.5150000000003
48,PF,Residencial,14,8,8.5625,24.75,Alto,Frequente,1,4,3,4,0,0,2,0,1892.8049999999998
49,PF,Comercial,25,3,4.2,23.333333333333332,Medio,Frequente,0,6,10,0,9,0,0,0,1467.6000000000001
50,PF,Residencial,11,7,6.114285714285714,23.714285714285715,Medio,Frequente,4,1,5,0,0,0,0,1,2889.3050000000003
51,PJ,Comercial,52,8,7.7125,19.5,Medio,Frequente,0,6,17,6,3,0,0,20,8016.238
52,PJ,Residencial,20,8,8.625,23.625,Alto,Frequente,0,6,13,0,0,0,0,1,2696.624
53,PJ,Industrial,34,4,6.4,22.25,Medio,Frequente,0,4,0,0,12,9,0,9,16353.36
54,PJ,Comercial,41,7,7.0,21.571428571428573,Medio,Frequente,0,9,8,2,5,0,0,17,3748.8
55,PF,Industrial,39,5,8.78,22.8,Alto,Frequente,0,4,0,0,4,12,0,19,36423.21
56,PJ,Residencial,4,3,11.633333333333333,19.666666666666668,Alto,Frequente,0,0,1,2,0,0,1,0,123.828
57,PF,Comercial,58,7,6.0,24.714285714285715,Medio,Frequente,0,13,16,7,11,0,0,11,6047.304
58,PF,Residencial,6,4,9.15,24.0,Alto,Frequente,0,3,3,0,0,0,0,0,1099.3200000000002
59,PF,Residencial,10,5,7.92,21.8,Medio,Frequente,1,2,4,3,0,0,0,0,1140.35
60,PF,Comercial,46,6,6.3500000000000005,26.5,Medio,Constante,0,6,18,5,14,0,0,3,3971.2
61,PF,Comercial,71,7,6.557142857142857,22.714285714285715,Medio,Frequente,0,15,26,14,0,0,0,16,3847.38
62,PF,Industrial,42,4,9.825,25.25,Alto,Constante,0,13,0,0,8,7,0,14,31668.840000000004
63,PJ,Comercial,24,5,8.64,23.6,Alto,Frequente,0,11,6,5,0,0,0,2,1908.83
64,PF,Residencial,15,8,9.5,23.0,Alto,Frequente,2,4,5,1,0,0,0,3,3084.5350000000003
65,PF,Residencial,15,8,5.9125000000000005,23.5,Medio,Frequente,2,3,5,2,0,0,0,3,1024.6380000000001
66,PF,Comercial,57,7,8.057142857142857,24.428571428571427,Alto,Frequente,0,11,15,4,9,0,0,18,8959.039999999999
67,PF,Residencial,19,8,5.5625,22.0,Medio,Frequente,0,5,6,5,0,0,3,0,770.2620000000001
68,PJ,Residencial,7,3,4.966666666666666,23.333333333333332,Medio,Frequente,2,0,5,0,0,0,0,0,1665.7999999999997
69,PF,Residencial,7,3,3.6666666666666665,20.0,Baixo,Frequente,0,3,4,0,0,0,0,0,235.02599999999998
70,PJ,Residencial,13,6,8.166666666666666,25.5,Alto,Constante,3,0,3,2,0,0,3,2,4696.86
71,PJ,Residencial,6,3,8.733333333333333,21.666666666666668,Alto,Frequente,0,0,6,0,0,0,0,0,1084.92
72,PF,Residencial,8,4,6.1,24.0,Medio,Frequente,3,0,3,2,0,0,0,0,1831.01
73,PF,Residencial,12,8,8.6125,25.375,Alto,Constante,3,1,4,2,0,0,2,0,4004.0370000000003
74,PJ,Residencial,12,6,7.483333333333333,20.166666666666668,Medio,Frequente,5,3,0,1,0,0,1,2,2301.6299999999997
75,PJ,Industrial,41,5,6.88,22.4,Medio,Frequente,0,4,0,0,12,11,0,14,9550.92
76,PJ,Residencial,17,7,5.328571428571428,20.571428571428573,Medio,Frequente,4,3,4,3,0,0,0,3,4261.59
77,PJ,Residencial,10,4,7.0,18.75,Medio,Frequente,0,0,10,0,0,0,0,0,326.16
78,PF,Comercial,52,5,9.059999999999999,23.0,Alto,Frequente,0,0,11,9,12,0,0,20,14359.15
79,PF,Residencial,15,7,9.014285714285714,22.285714285714285,Alto,Frequente,3,3,9,0,0,0,0,0,6255.3
80,PF,Industrial,27,3,7.233333333333333,19.666666666666668,Medio,Frequente,0,11,0,0,6,10,0,0,22342.56
81,PJ,Comercial,27,4,6.550000000000001,22.25,Medio,Frequente,0,19,0,2,0,0,0,6,1132.6000000000001
82,PF,Residencial,11,4,5.8999999999999995,22.5,Medio,Frequente,3,0,3,2,0,0,0,3,2830.5
83,PF,Residencial,15,8,9.425,24.0,Alto,Frequente,1,3,6,2,0,0,1,2,2644.516
84,PF,Comercial,41,4,4.949999999999999,20.5,Medio,Frequente,0,13,8,0,7,0,0,13,1586.576
85,PF,Industrial,34,5,5.7,24.6,Medio,Frequente,0,2,0,0,7,8,0,17,16837.925
86,PF,Residencial,12,5,3.62,23.8,Baixo,Frequente,2,0,4,3,0,0,0,3,1587.3899999999999
87,PJ,Comercial,57,6,8.766666666666667,21.666666666666668,Alto,Frequente,0,17,23,13,0,0,0,4,4749.35
88,PF,Residencial,6,3,10.466666666666667,22.666666666666668,Alto,Frequente,0,0,6,0,0,0,0,0,1922.2540000000004
89,PJ,Industrial,34,4,7.975,25.0,Medio,Frequente,0,3,0,0,0,10,0,21,9209.68
90,PF,Residencial,6,3,7.633333333333333,23.0,Medio,Frequente,2,0,0,2,0,0,2,0,2129.6240000000003
91,PF,Industrial,41,5,8.8,22.8,Alto,Frequente,0,8,0,0,8,8,0,17,18680.68
92,PJ,Comercial,54,6,6.933333333333334,23.0,Medio,Frequente,0,11,14,4,4,0,0,21,7050.74
93,PJ,Comercial,52,6,7.683333333333333,22.0,Medio,Frequente,0,12,16,0,14,0,0,10,9158.009999999998
94,PF,Residencial,7,5,8.879999999999999,21.6,Alto,Frequente,0,1,6,0,0,0,0,0,466.318
95,PJ,Residencial,5,3,6.266666666666667,18.0,Medio,Frequente,0,1,4,0,0,0,0,0,161.325
96,PF,Residencial,17,8,5.925,19.5,Medio,Frequente,2,2,8,5,0,0,0,0,2128.136
97,PF,Residencial,15,7,6.071428571428571,22.0,Medio,Frequente,3,0,9,0,0,0,0,3,1414.2060000000001
98,PF,Residencial,12,6,4.383333333333333,24.166666666666668,Medio,Frequente,1,0,8,3,0,0,0,0,983.289
99,PF,Comercial,34,5,7.2,23.8,Medio,Frequente,0,7,14,4,9,0,0,0,3557.2439999999997
100,PF,Residencial,18,8,9.45,22.125,Alto,Frequente,5,5,3,2,0,0,0,3,6446.762
101,PF,Residencial,12,5,6.220000000000001,21.8,Medio,Frequente,3,3,6,0,0,0,0,0,1281.6900000000003
102,PF,Industrial,29,4,8.075,19.75,Alto,Frequente,0,10,0,0,3,0,0,16,4406.4
103,PF,Comercial,47,6,7.1499999999999995,20.333333333333332,Medio,Frequente,0,12,10,14,3,0,0,8,3775.96
104,PF,Industrial,27,4,5.8,21.75,Medio,Frequente,0,10,0,0,0,9,0,8,15118.5
105,PJ,Industrial,34,4,6.8500000000000005,21.25,Medio,Frequente,0,14,0,0,0,2,0,18,8332.560000000001
106,PF,Residencial,15,7,6.714285714285714,19.571428571428573,Medio,Frequente,4,5,4,0,0,0,2,0,5215.6
107,PF,Residencial,11,5,6.159999999999999,19.6,Medio,Frequente,0,2,6,0,0,0,0,3,424.5280000000001
108,PJ,Comercial,62,8,9.3375,21.0,Alto,Frequente,0,5,21,14,4,0,0,18,5721.124
109,PF,Comercial,41,4,6.4,19.75,Medio,Frequente,0,14,9,10,0,0,0,8,2010.434
110,PF,Residencial,16,8,9.9875,19.875,Alto,Frequente,0,3,8,2,0,0,3,0,1407.169
111,PF,Comercial,57,7,7.771428571428571,18.857142857142858,Medio,Frequente,0,14,10,3,13,0,0,17,5679.028
112,PF,Residencial,8,4,10.8,25.25,Alto,Constante,0,1,1,3,0,0,3,0,593.61
113,PJ,Residencial,14,8,5.4625,23.25,Medio,Frequente,3,4,5,2,0,0,0,0,1615.0260000000003
114,PJ,Residencial,10,5,6.26,25.0,Medio,Frequente,0,5,4,1,0,0,0,0,646.77
115,PF,Residencial,6,3,7.866666666666667,19.0,Medio,Frequente,2,0,2,0,0,0,0,2,1585.8000000000002
116,PJ,Residencial,14,7,8.0,20.0,Medio,Frequente,3,0,8,2,0,0,0,1,3128.121
117,PJ,Residencial,11,5,7.44,25.8,Medio,Constante,0,0,2,5,0,0,2,2,416.042
118,PF,Comercial,48,5,10.36,26.8,Alto,Constante,0,17,0,11,9,0,0,11,9296.368
119,PJ,Residencial,10,4,8.15,26.5,Alto,Constante,2,0,5,0,0,0,0,3,1738.542
120,PF,Residencial,11,6,5.133333333333334,23.166666666666668,Medio,Frequente,1,3,3,1,0,0,0,3,1464.9250000000002
121,PJ,Comercial,20,4,5.65,26.5,Medio,Constante,0,3,8,0,2,0,0,7,3576.672
122,PJ,Industrial,40,5,7.42,18.2,Medio,Frequente,0,13,0,0,3,11,0,13,11059.04
123,PF,Comercial,54,6,6.8500000000000005,22.0,Medio,Frequente,0,26,14,6,3,0,0,5,4329.09
124,PF,Comercial,62,7,6.857142857142857,21.285714285714285,Medio,Frequente,0,24,12,7,0,0,0,19,9036.846
125,PF,Comercial,50,5,3.22,23.2,Baixo,Frequente,0,11,10,10,0,0,0,19,3292.16
126,PF,Residencial,7,3,7.3,25.333333333333332,Medio,Constante,0,3,2,2,0,0,0,0,177.06
127,PJ,Residencial,6,4,4.3,21.5,Medio,Frequente,0,0,2,4,0,0,0,0,80.208
128,PJ,Residencial,15,8,7.9625,24.0,Medio,Frequente,2,1,6,3,0,0,3,0,1586.275
129,PF,Residencial,14,5,5.340000000000001,26.2,Medio,Constante,6,0,6,2,0,0,0,0,4407.87
130,PF,Residencial,7,3,7.833333333333333,23.0,Medio,Frequente,0,2,5,0,0,0,0,0,563.04
131,PF,Comercial,27,4,6.025,24.5,Medio,Frequente,0,4,13,0,0,0,0,10,2700.8579999999997
132,PF,Residencial,6,3,6.033333333333334,25.0,Medio,Frequente,0,0,5,1,0,0,0,0,131.022
133,PF,Residencial,11,6,8.383333333333333,23.666666666666668,Alto,Frequente,0,4,4,1,0,0,0,2,1188.5620000000001
134,PF,Residencial,11,5,7.340000000000001,20.0,Medio,Frequente,0,0,4,5,0,0,2,0,1674.5560000000003
135,PJ,Comercial,66,8,7.6125,20.5,Medio,Frequente,0,15,7,10,12,0,0,22,9560.29
136,PF,Residencial,6,4,5.7749999999999995,20.75,Medio,Frequente,0,0,4,1,0,0,0,1,376.8
137,PF,Comercial,38,4,9.375,23.5,Alto,Frequente,0,20,7,0,0,0,0,11,7396.456
138,PJ,Residencial,12,6,9.566666666666668,21.166666666666668,Alto,Frequente,2,0,5,3,0,0,0,2,4004.1400000000003
139,PF,Residencial,11,5,6.220000000000001,22.2,Medio,Frequente,4,0,2,3,0,0,2,0,2627.29
140,PJ,Residencial,14,7,7.6571428571428575,21.857142857142858,Medio,Frequente,3,0,7,4,0,0,0,0,3543.62
141,PJ,Comercial,46,4,9.275,25.0,Alto,Frequente,0,13,12,13,8,0,0,0,2541.804
142,PF,Residencial,17,8,5.9375,23.375,Medio,Frequente,2,2,6,6,0,0,0,1,975.5699999999999
143,PF,Comercial,60,7,8.571428571428571,22.857142857142858,Alto,Frequente,0,13,18,12,3,0,0,14,3228.96
144,PF,Residencial,10,5,9.52,21.4,Alto,Frequente,0,2,3,3,0,0,0,2,1923.6100000000001
145,PF,Residencial,16,7,8.342857142857143,22.0,Alto,Frequente,5,0,8,0,0,0,0,3,6973.530000000001
146,PF,Comercial,38,4,5.7,26.0,Medio,Constante,0,10,20,0,0,0,0,8,4480.68
147,PF,Comercial,34,5,7.68,22.8,Medio,Frequente,0,0,2,10,5,0,0,17,3398.9999999999995
148,PF,Comercial,28,5,4.76,23.8,Medio,Frequente,0,7,13,6,0,0,0,2,1804.94
149,PF,Comercial,46,5,7.540000000000001,21.2,Medio,Frequente,0,0,14,4,14,0,0,14,7054.660000000001
150,PF,Comercial,71,8,9.7125,21.0,Alto,Frequente,0,10,18,5,14,0,0,24,8888.742
151,PF,Comercial,36,5,7.719999999999999,26.4,Medio,Constante,0,0,20,4,0,0,0,12,5623.79
152,PF,Comercial,78,8,7.9624999999999995,24.375,Medio,Frequente,0,21,21,11,7,0,0,18,7973.406
153,PF,Comercial,66,8,7.8125,22.375,Medio,Frequente,0,12,18,6,6,0,0,24,8887.679999999998
154,PF,Comercial,28,4,4.65,22.75,Medio,Frequente,0,11,7,10,0,0,0,0,674.84
155,PJ,Comercial,72,8,6.75,21.375,Medio,Frequente,0,20,13,14,12,0,0,13,6496.428
156,PF,Comercial,63,8,8.7,22.875,Alto,Frequente,0,12,17,14,11,0,0,9,6636.781999999999
157,PF,Residencial,18,7,9.114285714285716,19.571428571428573,Alto,Frequente,3,3,9,3,0,0,0,0,5026.650000000001
158,PJ,Comercial,29,5,6.36,20.2,Medio,Frequente,0,9,0,0,10,0,0,10,3937.9970000000003
159,PF,Comercial,26,4,6.125,19.0,Medio,Frequente,0,10,11,0,5,0,0,0,1185.56
160,PJ,Residencial,15,7,7.6000000000000005,22.571428571428573,Medio,Frequente,3,3,5,1,0,0,3,0,5185.098
161,PF,Comercial,36,4,3.9499999999999997,22.0,Baixo,Frequente,0,10,5,10,0,0,0,11,1432.1499999999999
162,PF,Residencial,5,3,7.733333333333333,23.0,Medio,Frequente,0,1,4,0,0,0,0,0,1434.735
163,PF,Residencial,12,6,8.033333333333333,22.5,Alto,Frequente,2,1,4,3,0,0,0,2,4439.320000000001
164,PF,Comercial,42,5,5.840000000000001,21.8,Medio,Frequente,0,10,18,0,0,0,0,14,2234.517
165,PF,Residencial,16,6,6.816666666666666,24.5,Medio,Frequente,3,5,5,0,0,0,0,3,1966.816
166,PF,Comercial,56,6,5.8999999999999995,22.666666666666668,Medio,Frequente,0,13,16,6,13,0,0,8,2593.549
167,PF,Comercial,26,5,9.059999999999999,20.4,Alto,Frequente,0,16,4,0,0,0,0,6,8995.008
168,PF,Residencial,19,8,9.125,18.875,Alto,Frequente,0,0,14,2,0,0,2,1,1908.826
169,PF,Residencial,18,8,8.4125,24.0,Alto,Frequente,0,1,7,4,0,0,3,3,1523.862
170,PF,Residencial,11,6,20.73333333333333,21.666666666666668,Alto,Frequente,0,2,7,1,0,0,0,1,3940.197
171,PF,Comercial,55,7,12.428571428571429,21.285714285714285,Alto,Frequente,0,10,12,9,6,0,0,18,10656.23
172,PF,Industrial,43,5,5.64,21.6,Medio,Frequente,0,11,0,0,6,9,0,17,12916.705
173,PF,Comercial,22,4,8.575,24.25,Alto,Frequente,0,14,0,6,0,0,0,2,4429.799999999999
174,PF,Residencial,12,7,6.414285714285714,24.428571428571427,Medio,Frequente,1,0,5,3,0,0,2,1,1022.8879999999999
175,PF,Comercial,32,4,7.225,17.0,Medio,Frequente,0,15,0,6,0,0,0,11,1107.339
176,PF,Residencial,5,3,11.633333333333333,18.666666666666668,Alto,Frequente,0,1,3,1,0,0,0,0,98.10400000000001
177,PF,Comercial,60,7,6.714285714285714,23.285714285714285,Medio,Frequente,0,24,5,12,8,0,0,11,4192.49
178,PF,Residencial,12,6,7.1000000000000005,25.5,Medio,Constante,2,2,4,2,0,0,0,2,2446.53
179,PJ,Comercial,28,5,8.84,20.4,Alto,Frequente,0,11,13,0,0,0,0,4,3131.2650000000003
180,PF,Residencial,12,5,9.440000000000001,22.4,Alto,Frequente,2,0,6,4,0,0,0,0,1766.2799999999997
181,PF,Industrial,37,4,6.275,22.25,Medio,Frequente,0,4,0,0,12,8,0,13,8934.4
182,PF,Residencial,11,4,5.25,19.0,Medio,Frequente,3,3,3,2,0,0,0,0,1124.694
183,PJ,Comercial,57,6,5.216666666666667,23.833333333333332,Medio,Frequente,0,8,15,12,0,0,0,22,5648.31
184,PJ,Industrial,22,4,8.2,23.25,Alto,Frequente,0,2,0,0,0,13,0,7,5039.6
185,PF,Residencial,12,6,6.583333333333333,22.833333333333332,Medio,Frequente,0,3,8,0,0,0,0,1,1023.8070000000001
186,PF,Industrial,44,4,9.4,22.0,Alto,Frequente,0,11,0,0,7,13,0,13,25130.4
187,PJ,Comercial,60,8,7.4375,22.875,Medio,Frequente,0,12,18,13,9,0,0,8,3581.62
188,PF,Residencial,15,8,8.362499999999999,20.625,Alto,Frequente,1,3,7,2,0,0,0,2,2802.4799999999996
189,PF,Residencial,7,3,4.8,20.666666666666668,Medio,Frequente,0,0,5,0,0,0,2,0,70.363
190,PF,Comercial,65,8,6.0375,22.875,Medio,Frequente,0,19,16,10,6,0,0,14,8101.094999999999
191,PF,Residencial,9,4,7.6,23.5,Medio,Frequente,2,1,3,3,0,0,0,0,3701.8799999999997
192,PJ,Residencial,4,3,8.0,20.0,Medio,Frequente,0,2,2,0,0,0,0,0,486.97200000000004
193,PJ,Residencial,7,4,8.325,20.5,Alto,Frequente,1,2,1,3,0,0,0,0,1273.4240000000002
194,PF,Comercial,46,6,11.116666666666667,21.166666666666668,Alto,Frequente,0,14,14,0,13,0,0,5,8221.038
195,PF,Residencial,11,5,7.140000000000001,23.8,Medio,Frequente,5,0,6,0,0,0,0,0,3512.370000000001
196,PF,Comercial,54,5,6.779999999999999,24.2,Medio,Frequente,0,22,7,12,0,0,0,13,3281.54
197,PF,Industrial,35,5,8.540000000000001,22.6,Alto,Frequente,0,7,0,0,6,7,0,15,12785.48
198,PJ,Industrial,40,5,9.78,23.0,Alto,Frequente,0,13,0,0,5,13,0,9,34093.855
199,PJ,Comercial,46,6,7.7,20.0,Medio,Frequente,0,6,7,10,5,0,0,18,5298.14
200,PF,Residencial,11,4,3.975,24.5,Baixo,Frequente,0,0,8,0,0,0,3,0,1128.78
201,PF,Comercial,63,7,6.028571428571428,23.714285714285715,Medio,Frequente,0,14,7,10,14,0,0,18,10868.46
202,PF,Residencial,12,7,6.414285714285714,22.142857142857142,Medio,Frequente,3,3,3,1,0,0,2,0,1496.073
203,PF,Residencial,3,3,8.166666666666666,22.333333333333332,Alto,Frequente,0,0,1,0,0,0,1,1,96.225
204,PJ,Residencial,17,8,7.6499999999999995,23.5,Medio,Frequente,3,3,5,5,0,0,1,0,4634.7699999999995
205,PF,Residencial,5,3,7.8,23.0,Medio,Frequente,0,0,2,3,0,0,0,0,543.084
206,PF,Comercial,70,7,6.685714285714285,21.571428571428573,Medio,Frequente,0,19,23,12,0,0,0,16,6326.192
207,PF,Comercial,70,8,8.0,22.875,Medio,Frequente,0,19,13,8,13,0,0,17,9918.28
208,PF,Residencial,11,5,5.0200000000000005,18.8,Medio,Frequente,0,0,7,4,0,0,0,0,378.15
209,PF,Residencial,11,6,4.716666666666667,24.666666666666668,Medio,Frequente,3,1,3,1,0,0,3,0,3706.106
210,PF,Industrial,31,4,9.35,23.25,Alto,Frequente,0,2,0,0,13,0,0,16,8196.16
211,PF,Residencial,7,4,2.875,23.25,Baixo,Frequente,3,0,4,0,0,0,0,0,1433.85
212,PF,Residencial,7,5,4.76,25.6,Medio,Constante,0,2,4,1,0,0,0,0,625.65
213,PF,Residencial,8,4,10.175,22.5,Alto,Frequente,3,1,4,0,0,0,0,0,4890.8099999999995
214,PF,Comercial,27,4,6.25,20.75,Medio,Frequente,0,11,0,14,2,0,0,0,1189.8000000000002
215,PJ,Comercial,28,5,5.04,17.8,Medio,Frequente,0,6,6,0,0,0,0,16,1630.16
216,PF,Residencial,8,4,8.125,21.0,Alto,Frequente,1,3,3,1,0,0,0,0,2878.515
217,PF,Residencial,7,4,8.375,19.0,Alto,Frequente,0,0,6,1,0,0,0,0,294.85999999999996
218,PJ,Comercial,43,5,6.539999999999999,19.2,Medio,Frequente,0,14,11,9,0,0,0,9,1477.8899999999999
219,PF,Comercial,43,6,9.033333333333333,23.666666666666668,Alto,Frequente,0,5,15,0,8,0,0,15,5605.02
220,PJ,Residencial,6,5,5.92,21.2,Medio,Frequente,1,0,4,1,0,0,0,0,1833.03
221,PF,Industrial,18,3,5.1000000000000005,22.666666666666668,Medio,Frequente,0,11,0,0,0,5,0,2,8493.0
222,PF,Residencial,11,5,10.9,23.0,Alto,Frequente,0,3,5,0,0,0,2,1,2698.008
223,PF,Residencial,21,8,7.175,22.875,Medio,Frequente,3,3,9,3,0,0,0,3,5895.2339999999995
224,PF,Industrial,29,5,7.68,24.0,Medio,Frequente,0,2,0,0,5,2,0,20,11887.75
225,PF,Residencial,16,7,9.471428571428572,25.428571428571427,Alto,Constante,2,1,8,3,0,0,0,2,3123.6520000000005
226,PF,Comercial,21,4,9.925,22.5,Alto,Frequente,0,0,6,0,10,0,0,5,5309.5599999999995
227,PJ,Residencial,10,7,6.928571428571429,22.714285714285715,Medio,Frequente,1,0,4,4,0,0,1,0,1601.305
228,PF,Residencial,3,3,5.7,21.333333333333332,Medio,Frequente,0,1,1,0,0,0,0,1,162.825
229,PF,Industrial,46,4,6.875,25.0,Medio,Frequente,0,13,0,0,10,0,0,23,12025.650000000001
230,PF,Residencial,11,6,6.266666666666667,20.333333333333332,Medio,Frequente,1,3,6,0,0,0,0,1,1726.3500000000001
231,PF,Comercial,34,5,9.059999999999999,19.0,Alto,Frequente,0,2,16,11,5,0,0,0,2186.7799999999997
232,PF,Residencial,4,3,5.933333333333334,26.0,Medio,Constante,0,3,0,0,0,0,0,1,221.156
233,PF,Residencial,6,4,6.3500000000000005,24.5,Medio,Frequente,0,4,1,1,0,0,0,0,489.664
234,PF,Residencial,8,5,5.1,22.4,Medio,Frequente,3,0,5,0,0,0,0,0,2184.6000000000004
235,PF,Comercial,32,5,7.3,23.6,Medio,Frequente,0,5,14,0,4,0,0,9,4023.81
236,PJ,Residencial,5,3,5.7,19.333333333333332,Medio,Frequente,0,1,0,0,0,0,2,2,41.536
237,PF,Comercial,60,6,7.55,20.166666666666668,Medio,Frequente,0,11,18,0,12,0,0,19,5630.728
238,PF,Residencial,16,7,20.771428571428572,23.857142857142858,Alto,Frequente,2,1,8,3,0,0,2,0,1854.224
239,PF,Industrial,47,5,10.5,21.4,Alto,Frequente,0,14,0,0,6,9,0,18,28178.1
240,PF,Residencial,20,8,8.125,26.0,Alto,Constante,0,0,17,1,0,0,2,0,3669.99
241,PJ,Comercial,32,5,7.06,25.6,Medio,Constante,0,11,2,0,2,0,0,17,7694.94
