id,id_cliente,id_equipamento,quantidade,horas_uso_diario,dias_uso_mes
324,56,14,2,12.2,26
325,57,1,14,4.2,26
326,57,18,11,11.3,21
327,57,13,11,6.6,29
328,57,9,3,1.7,18
329,57,8,10,10.0,21
330,57,12,7,3.9,29
331,57,7,2,4.3,29
332,58,9,1,11.8,30
333,58,8,2,12.9,17
334,58,4,2,3.4,22
335,58,2,1,8.5,27
336,59,11,1,5.1,20
337,59,9,2,9.5,16
338,59,4,2,5.3,23
339,59,7,2,12.0,21
340,59,12,3,7.7,29
341,60,12,5,9.9,24
342,60,7,13,11.6,27
343,60,18,14,5.9,25
344,60,13,3,2.4,30
345,60,1,5,6.4,24
346,60,8,6,1.9,29
347,61,12,14,10.2,17
348,61,16,7,5.1,29
349,61,7,12,4.4,21
350,61,1,14,11.9,21
351,61,13,9,7.0,21
352,61,9,11,5.1,30
353,61,8,4,2.2,20
354,62,18,8,10.5,25
355,62,16,14,9.6,28
356,62,17,7,13.3,27
357,62,8,13,5.9,21
358,63,9,7,5.2,25
359,63,8,4,11.8,25
360,63,13,2,10.1,29
361,63,12,5,4.0,17
362,63,1,6,12.1,22
363,64,11,1,3.6,24
364,64,9,3,12.5,19
365,64,5,3,7.5,21
366,64,2,2,11.1,16
367,64,8,1,8.4,29
368,64,10,1,11.4,24
369,64,12,1,10.0,28
370,64,13,3,11.5,23
371,65,11,2,1.7,25
372,65,7,1,1.1,17
373,65,8,1,10.5,30
374,65,14,2,11.2,25
375,65,13,3,4.2,24
376,65,1,1,8.4,20
377,65,9,2,1.8,25
378,65,6,3,8.4,22
379,66,7,2,3.9,19
380,66,18,9,13.1,30
381,66,16,5,6.9,27
382,66,1,13,4.7,21
383,66,8,11,9.6,18
384,66,13,13,10.9,27
385,66,12,4,7.3,29
386,67,9,2,6.3,30
387,67,6,2,1.7,18
388,67,14,2,6.1,21
389,67,2,2,3.5,28
390,67,1,2,4.4,20
391,67,8,3,4.9,21
392,67,12,3,6.3,20
393,67,15,3,11.3,18
394,68,3,2,6.8,29
395,68,1,3,2.5,24
396,68,10,2,5.6,17
397,69,6,1,2.7,19
398,69,8,3,1.2,16
399,69,7,3,7.1,25
400,70,11,3,12.0,26
401,70,15,3,9.8,15
402,70,13,2,8.8,30
403,70,6,2,8.5,28
404,70,14,2,2.9,30
405,70,3,1,7.0,24
406,71,3,3,10.5,16
407,71,7,2,8.7,26
408,71,2,1,7.0,23
409,72,12,2,6.2,29
410,72,10,1,8.5,27
411,72,5,3,7.5,24
412,72,11,2,2.2,16
413,73,3,1,11.9,18
414,73,15,2,8.6,21
415,73,1,1,4.5,25
416,73,7,1,9.6,22
417,73,11,3,8.7,29
418,73,14,2,10.5,30
419,73,9,1,9.6,28
420,73,5,1,5.5,30
421,74,11,3,5.6,17
422,74,10,2,1.2,21
423,74,14,1,13.4,17
424,74,15,1,7.7,20
425,74,8,3,8.1,20
426,74,13,2,8.9,26
427,75,13,5,2.8,30
428,75,18,12,11.8,20
429,75,16,9,6.3,20
430,75,17,11,1.9,18
431,75,8,4,11.6,24
432,76,12,3,2.6,18
433,76,10,1,4.3,21
434,76,9,3,7.5,20
435,76,11,3,9.0,27
436,76,7,1,1.3,20
437,76,13,3,9.0,20
438,76,3,3,3.6,18
439,77,2,2,1.6,24
440,77,1,3,13.1,16
441,77,5,3,4.5,20
442,77,6,2,8.8,15
443,78,12,9,2.0,21
444,78,16,14,14.0,26
445,78,7,11,11.0,26
446,78,18,12,13.2,19
447,78,13,6,5.1,23
448,79,8,3,11.3,16
449,79,11,3,13.6,24
450,79,5,1,1.8,17
451,79,7,1,7.6,28
452,79,2,3,9.6,15
453,79,1,3,6.9,28
454,79,3,1,12.3,28
455,80,18,6,6.7,18
456,80,8,11,1.8,21
457,80,17,10,13.2,20
458,81,9,14,2.4,25
459,81,8,5,4.9,26
460,81,13,6,9.8,18
461,81,12,2,9.1,20
462,82,11,3,8.7,23
463,82,14,2,3.2,27
464,82,13,3,3.0,25
465,82,6,3,8.7,15
466,83,13,2,13.6,27
467,83,14,2,10.4,22
468,83,3,2,7.1,16
469,83,1,3,13.9,28
470,83,11,1,12.6,24
471,83,5,1,11.2,28
472,83,8,3,5.4,20
473,83,15,1,1.2,27
474,84,16,13,1.7,17
475,84,1,8,12.7,26
476,84,18,7,3.8,15
477,84,9,13,1.6,24
478,85,8,2,7.5,22
479,85,18,7,3.8,29
480,85,13,7,7.1,21
481,85,16,10,1.2,25
482,85,17,8,8.9,26
483,86,4,2,2.0,27
484,86,14,3,3.1,17
485,86,11,2,3.6,29
486,86,13,3,1.7,29
487,86,3,2,7.7,17
488,87,13,4,1.9,21
489,87,1,14,13.9,23
490,87,12,13,4.4,19
491,87,8,10,12.9,21
492,87,9,7,11.7,20
493,87,7,9,7.8,26
494,88,6,2,4.2,23
495,88,3,3,13.9,29
496,88,5,1,13.3,16
497,89,8,3,9.7,29
498,89,17,10,1.7,22
499,89,13,12,11.0,23
500,89,16,9,9.5,26
501,90,12,2,9.0,16
502,90,11,2,8.6,27
503,90,15,2,5.3,26
504,91,17,8,11.2,17
505,91,8,8,4.1,28
506,91,16,7,10.5,22
507,91,13,10,9.2,25
508,91,18,8,9.0,22
509,92,18,4,7.8,18
510,92,1,14,3.4,19
511,92,8,11,12.6,29
512,92,12,4,7.0,20
513,92,13,14,9.0,26
514,92,16,7,1.8,26
515,93,1,6,6.6,19
516,93,7,10,6.3,20
517,93,16,8,4.9,21
518,93,8,12,10.1,30
519,93,18,14,8.7,21
520,93,13,2,9.5,21
521,94,5,1,10.7,23
522,94,1,3,3.5,22
523,94,6,1,7.3,21
524,94,9,1,12.9,26
525,94,4,1,10.0,16
526,95,7,1,7.1,22
527,95,1,3,9.1,15
528,95,8,1,2.6,17
529,96,7,2,12.9,15
530,96,12,2,3.4,16
531,96,14,3,6.0,23
532,96,6,1,8.7,19
533,96,3,2,1.9,23
534,96,5,3,2.1,24
535,96,10,2,7.7,18
536,96,8,2,4.7,18
537,97,2,1,8.3,16
538,97,6,3,9.8,27
539,97,5,2,10.6,27
540,97,11,3,2.7,17
541,97,13,3,4.0,23
542,97,3,2,4.3,17
543,97,7,1,2.8,27
544,98,1,3,2.1,27
545,98,6,2,5.9,19
546,98,14,3,3.0,29
547,98,3,2,5.3,21
548,98,11,1,3.4,23
549,98,2,1,6.6,26
550,99,9,7,5.1,19
551,99,1,4,6.2,26
552,99,12,4,7.8,28
553,99,18,9,11.7,29
554,99,7,10,5.2,17
555,100,8,3,12.4,29
556,100,5,1,12.2,25
557,100,2,2,10.9,23
558,100,12,2,10.0,21
559,100,10,2,9.9,23
560,100,13,3,7.5,22
561,100,11,3,7.6,17
562,100,9,2,5.1,17
563,101,11,3,2.7,15
564,101,1,1,10.6,22
565,101,2,2,4.3,25
566,101,4,3,3.2,22
567,101,9,3,10.3,25
568,102,13,12,9.8,15
569,102,18,3,6.2,19
570,102,8,10,5.0,15
571,102,16,4,11.3,30
572,103,12,14,13.0,29
573,103,1,2,5.0,18
574,103,7,8,9.0,20
575,103,18,3,1.6,20
576,103,8,12,9.8,18
577,103,13,8,4.5,17
578,104,17,9,6.1,30
579,104,16,5,8.1,15
580,104,13,3,5.8,26
581,104,8,10,3.2,16
582,105,8,14,6.4,28
583,105,13,9,6.2,16
584,105,17,2,6.9,23
585,105,16,9,7.9,18
586,106,11,2,10.7,15
587,106,8,3,12.0,19
588,106,7,3,1.7,22
589,106,4,1,6.4,23
590,106,15,2,1.0,18
591,106,10,2,12.0,20
592,106,9,2,3.2,20
593,107,6,3,9.1,26
594,107,9,2,2.4,18
595,107,3,2,2.4,16
596,107,13,3,10.8,22
597,107,5,1,6.1,16
598,108,9,3,12.3,17
599,108,13,11,8.0,18
600,108,18,4,11.5,16
601,108,7,11,8.3,20
602,108,16,7,11.2,18
603,108,8,2,12.1,25
604,108,12,14,10.2,28
605,108,1,10,1.1,26
606,109,1,9,5.0,15
607,109,7,-2,4.0,29
608,109,16,8,3.4,29
609,109,12,10,4.8,17
610,109,9,14,12.4,18
611,110,5,2,10.3,21
612,110,4,3,5.2,16
613,110,8,3,10.9,15
614,110,14,1,8.1,19
615,110,6,1,13.4,25
616,110,12,1,12.2,26
617,110,15,3,12.1,22
618,110,7,2,7.7,15
619,111,18,13,8.9,26
620,111,12,3,5.9,18
621,111,9,8,8.7,16
622,111,16,11,3.5,15
623,111,13,6,11.8,20
624,111,1,10,9.4,20
625,111,8,6,6.2,17
626,112,8,1,12.1,25
627,112,5,1,10.2,16
628,112,15,3,11.8,30
629,112,14,3,9.1,30
630,113,11,3,1.9,15
631,113,5,1,5.1,30
632,113,6,2,5.6,21
633,113,4,2,8.8,18
634,113,14,1,6.0,15
635,113,12,1,3.6,29
636,113,8,3,4.9,30
637,113,9,1,7.8,28
638,114,6,3,8.5,25
639,114,9,2,10.4,30
640,114,8,3,2.1,23
641,114,3,1,8.1,28
642,114,14,1,2.2,19
643,115,7,2,12.5,22
644,115,10,2,7.9,16
645,115,13,2,3.2,19
646,116,10,3,7.0,19
647,116,6,3,10.7,18
648,116,5,2,6.5,24
649,116,12,2,13.5,16
650,116,13,1,3.5,15
651,116,3,2,8.2,26
652,116,7,1,6.6,22
653,117,15,2,6.8,23
654,117,2,2,1.8,30
655,117,14,2,8.6,21
656,117,13,2,9.3,30
657,117,12,3,10.7,25
658,118,8,4,13.6,27
659,118,12,11,13.4,28
660,118,9,13,7.2,26
661,118,16,11,7.8,27
662,118,18,9,9.8,26
663,119,6,3,13.2,21
664,119,3,2,12.1,28
665,119,13,3,5.4,27
666,119,11,2,1.9,30
667,120,14,1,11.1,25
668,120,9,1,3.4,30
669,120,1,3,3.2,21
670,120,10,1,8.0,29
671,120,13,3,3.6,15
672,120,8,2,1.5,19
673,121,1,8,10.4,26
674,121,16,7,7.9,28
675,121,9,3,1.7,24
676,121,18,2,2.6,28
677,122,17,11,3.2,24
678,122,13,6,9.0,18
679,122,18,3,10.5,16
680,122,8,13,10.9,16
681,122,16,7,3.5,17
682,123,8,13,7.8,24
683,123,12,6,11.5,22
684,123,13,5,2.1,26
685,123,7,14,9.6,20
686,123,18,3,4.6,19
687,123,9,13,5.5,21
688,124,12,7,12.2,20
689,124,8,13,12.1,28
690,124,9,11,1.6,17
691,124,7,3,1.8,17
692,124,13,11,9.7,19
693,124,1,9,3.3,23
694,124,16,8,7.3,25
695,125,8,11,7.6,18
696,125,13,11,1.8,24
697,125,7,10,2.5,16
698,125,12,10,1.7,28
699,125,16,8,2.5,30
700,126,12,2,5.1,27
701,126,7,2,5.8,24
702,126,9,3,11.0,25
703,127,12,3,4.4,30
704,127,14,1,2.2,16
705,127,7,1,2.5,16
706,127,6,1,8.1,24
707,128,11,2,1.1,21
708,128,5,2,12.1,26
709,128,15,3,8.6,26
710,128,1,1,6.3,19
711,128,9,1,9.4,24
712,128,7,1,4.5,28
713,128,4,2,12.0,22
714,128,12,3,9.7,26
715,129,2,3,3.7,21
716,129,3,3,3.6,27
717,129,10,3,6.5,30
718,129,11,3,1.3,23
719,129,12,2,11.6,30
720,130,7,3,13.2,30
721,130,1,2,5.7,24
722,130,8,2,4.6,15
723,131,16,7,5.0,27
724,131,9,4,4.1,24
725,131,1,13,13.4,29
726,131,13,3,1.6,18
727,132,14,1,5.2,23
728,132,1,2,6.1,23
729,132,6,3,6.8,29
730,133,6,2,9.8,24
731,133,8,1,5.4,21
732,133,13,2,2.0,25
733,133,14,1,8.6,21
734,133,3,2,13.1,22
735,133,9,3,11.4,29
736,134,15,2,13.6,20
737,134,6,1,2.1,23
738,134,14,2,7.2,15
739,134,12,3,1.4,18
740,134,4,3,12.4,24
741,135,7,3,11.9,17
742,135,13,14,3.5,28
743,135,8,5,4.9,18
744,135,1,4,7.1,21
745,135,12,10,3.2,18
746,135,18,12,13.2,19
747,135,16,8,13.8,24
748,135,9,10,3.3,19
749,136,7,1,1.6,24
750,136,12,1,3.5,18
751,136,13,1,13.2,25
752,136,2,3,4.8,16
753,137,9,11,4.3,29
754,137,7,7,12.8,21
755,137,16,11,7.3,26
756,137,8,9,13.1,18
757,138,4,1,14.0,17
758,138,10,2,8.5,23
759,138,3,3,10.5,27
760,138,13,2,1.8,18
761,138,1,1,12.3,22
762,138,14,3,10.3,20
763,139,10,1,1.2,29
764,139,4,2,6.8,18
765,139,12,3,10.5,21
766,139,15,2,4.7,25
767,139,11,3,7.9,18
768,140,7,3,8.9,15
769,140,1,2,11.0,17
770,140,10,3,6.0,29
771,140,2,1,11.2,22
772,140,12,1,7.7,25
773,140,14,3,5.4,18
774,140,3,1,3.4,27
775,141,12,13,7.7,30
776,141,1,12,10.2,25
777,141,18,8,12.3,16
778,141,9,13,6.9,29
779,142,5,2,12.6,18
780,142,13,1,12.6,16
781,142,1,3,3.2,29
782,142,12,3,2.6,27
783,142,8,2,2.4,29
784,142,3,1,5.6,23
785,142,14,3,7.4,19
786,142,11,2,1.1,26
787,143,1,11,11.2,21
788,143,9,10,10.3,26
789,143,12,12,2.2,21
790,143,8,3,1.8,20
791,143,13,14,10.6,28
792,143,18,3,11.9,28
793,143,7,7,12.0,16
794,144,9,1,4.5,17
795,144,8,1,10.4,23
796,144,12,3,7.6,19
797,144,13,2,13.7,25
798,144,4,3,11.4,23
799,145,7,1,1.8,23
800,145,11,2,1.1,18
801,145,1,2,5.3,25
802,145,2,3,11.0,29
803,145,13,3,11.6,17
804,145,5,2,13.8,19
805,145,10,3,13.8,23
806,146,8,10,10.8,30
807,146,1,14,1.0,22
808,146,7,6,7.7,28
809,146,13,8,3.3,24
810,147,16,3,13.1,29
811,147,18,5,5.2,16
812,147,12,10,8.2,21
813,147,1,2,6.9,20
814,147,13,14,5.0,28
815,148,7,9,8.5,18
816,148,16,2,7.0,29
817,148,12,6,1.4,20
818,148,8,7,2.1,28
819,148,1,4,4.8,24
820,149,12,4,7.4,16
821,149,18,14,7.1,25
822,149,13,6,9.4,19
823,149,16,8,11.8,22
824,149,1,14,2.0,24
825,150,9,8,11.7,19
826,150,1,11,7.6,17
827,150,13,10,13.1,20
828,150,18,14,3.2,21
829,150,12,5,7.0,22
830,150,16,14,13.1,15
831,150,7,7,10.1,25
832,150,8,2,11.9,29
833,151,12,4,8.0,26
834,151,16,8,11.0,25
835,151,1,7,8.6,29
836,151,13,4,2.3,28
837,151,7,13,8.7,24
838,152,12,11,4.6,18
839,152,8,7,13.1,29
840,152,18,7,12.9,17
841,152,13,11,9.6,24
842,152,9,14,10.7,24
843,152,16,7,5.0,24
844,152,7,9,5.5,29
845,152,1,12,2.3,30
846,153,16,12,11.7,24
847,153,13,12,2.8,23
848,153,7,12,5.6,15
849,153,1,6,9.7,20
850,153,18,6,4.3,20
851,153,12,6,10.9,18
852,153,9,9,12.0,29
853,153,8,3,5.5,30
854,154,9,5,3.4,20
855,154,8,6,1.7,21
856,154,12,10,11.9,30
857,154,1,7,1.6,20
858,155,12,14,1.3,17
859,155,7,2,9.1,26
860,155,9,9,10.6,19
861,155,8,11,3.7,18
862,155,13,10,2.6,28
863,155,16,3,9.8,19
864,155,18,12,13.5,24
865,155,1,11,3.4,20
866,156,18,11,10.1,21
867,156,9,3,1.7,19
868,156,1,5,12.1,30
869,156,16,5,9.3,15
870,156,7,12,13.5,18
871,156,12,14,8.5,29
872,156,13,4,10.3,25
873,156,8,9,4.1,26
874,157,7,3,9.9,25
875,157,5,1,10.8,17
876,157,2,3,13.1,27
877,157,6,2,1.0,16
878,157,14,3,12.8,16
879,157,11,3,11.8,21
880,157,9,3,4.4,15
881,158,16,5,8.1,19
882,158,13,5,3.5,27
883,158,9,2,7.1,17
884,158,8,7,5.4,21
885,158,18,10,7.7,17
886,159,7,5,3.2,18
887,159,18,5,11.7,16
888,159,9,10,5.8,16
889,159,1,6,3.8,26
890,160,15,3,2.7,17
891,160,7,2,2.4,17
892,160,8,3,12.8,30
893,160,14,1,6.6,21
894,160,11,3,8.5,24
895,160,4,2,6.8,25
896,160,2,1,13.4,24
897,161,8,10,1.0,16
898,161,12,10,4.3,22
899,161,16,11,1.4,27
900,161,7,5,9.1,23
901,162,1,1,11.5,27
902,162,4,3,9.6,26
903,162,8,1,2.1,16
904,163,8,1,2.1,24
905,163,11,2,13.8,28
906,163,7,1,10.2,21
907,163,12,3,11.7,23
908,163,13,2,1.9,23
909,163,4,3,8.5,16
910,164,1,9,3.3,23
911,164,8,3,9.3,21
912,164,9,7,8.6,17
913,164,16,14,1.4,23
914,164,7,9,6.6,25
915,165,8,2,9.4,19
916,165,13,3,6.8,25
917,165,11,3,3.2,28
918,165,5,2,3.1,23
919,165,6,3,12.1,23
920,165,9,3,6.3,29
921,166,1,3,1.1,21
922,166,9,13,10.3,17
923,166,12,6,10.5,29
924,166,13,8,6.0,30
925,166,18,13,5.6,24
926,166,7,13,1.9,15
927,167,7,2,7.3,16
928,167,16,6,9.1,30
929,167,8,14,13.9,24
930,167,1,2,2.7,16
931,167,9,2,12.3,16
932,168,12,2,13.4,21
933,168,3,3,9.3,17
934,168,4,3,6.9,22
935,168,15,2,13.1,19
936,168,13,1,3.4,21
937,168,5,3,1.7,18
938,168,6,2,12.1,16
939,168,7,3,13.1,17
940,169,12,3,4.8,18
941,169,14,1,13.6,26
942,169,5,3,6.4,26
943,169,4,1,7.6,19
944,169,9,1,6.3,22
945,169,2,3,7.9,25
946,169,13,3,11.4,27
947,169,15,3,9.3,29
948,170,5,3,9.5,30
949,170,12,1,1.4,19
950,170,6,3,9.2,16
951,170,4,1,99.0,19
952,170,13,1,2.5,25
953,170,8,2,2.8,21
954,171,13,11,13.2,26
955,171,7,8,11.3,22
956,171,16,7,13.6,19
957,171,8,10,13.2,19
958,171,1,4,8.4,16
959,171,12,9,13.5,21
960,171,18,6,13.8,26
961,172,17,9,8.4,17
962,172,13,3,9.7,19
963,172,8,11,1.2,27
964,172,18,6,7.0,29
965,172,16,14,1.9,16
966,173,13,2,3.2,27
967,173,9,4,9.0,23
968,173,8,10,13.5,26
969,173,12,6,8.6,21
970,174,7,1,12.1,21
971,174,13,1,2.3,30
972,174,15,2,4.4,29
973,174,10,1,2.3,21
974,174,2,2,9.1,25
975,174,1,2,10.1,15
976,174,14,3,4.6,30
977,175,9,13,4.8,17
978,175,13,11,10.1,21
979,175,12,6,2.4,15
980,175,8,2,11.6,15
981,176,12,1,13.1,20
982,176,9,1,12.9,20
983,176,6,3,8.9,16
984,177,12,12,11.1,27
985,177,8,14,6.8,15
986,177,18,8,5.2,24
987,177,16,9,2.1,17
988,177,13,2,9.7,25
989,177,7,5,4.6,30
990,177,9,10,7.5,25
991,178,13,2,8.6,27
992,178,8,2,11.6,24
993,178,14,2,3.4,29
994,178,11,2,6.6,25
