id,tipo_pessoa,tipo_imovel
242,PJ,Comercial
243,PJ,Comercial
244,,Comercial
245,PF,Comercial
246,PJ,Comercial
247,PF,Residencial
248,PJ,Residencial
249,PJ,Industrial
250,PJ,Comercial
251,PF,Comercial
252,PF,Residencial
253,PJ,Residencial
254,PF,Residencial
255,PF,Comercial
256,,Residencial
257,PJ,Residencial
258,PF,Residencial
259,PF,Residencial
260,PF,Residencial
261,PF,Residencial
262,PJ,Comercial
263,PF,Residencial
264,PF,Residencial
265,PJ,Residencial
266,PJ,Residencial
267,PF,Residencial
268,PJ,Residencial
269,PF,Comercial
270,PF,Residencial
271,PJ,Comercial
272,PJ,Comercial
273,PJ,Comercial
274,PJ,Residencial
275,PF,Residencial
276,PF,Residencial
277,PJ,Residencial
278,PF,Industrial
279,PJ,Residencial
280,PJ,Residencial
281,PJ,Comercial
282,PF,Comercial
283,PF,Residencial
284,PF,Residencial
285,PF,Residencial
286,PF,Residencial
287,PF,Residencial
288,PF,Residencial
289,PF,Residencial
290,PF,Residencial
291,PF,Residencial
292,PF,Residencial
293,PJ,Residencial
294,PF,Comercial
295,PF,Comercial
296,PF,Residencial
297,PJ,Residencial
298,PF,Residencial
299,PF,Comercial
300,PF,Comercial
301,PF,Residencial
302,PF,Industrial
303,,Residencial
304,PF,Residencial
305,PJ,Comercial
306,PJ,Comercial
307,PF,Comercial
308,PF,Comercial
309,PJ,Residencial
310,PF,Comercial
311,PF,Residencial
312,PF,Comercial
313,PF,Residencial
314,PJ,Comercial
315,PJ,Residencial
316,PF,Comercial
317,PF,Residencial
318,PF,Comercial
319,PF,Residencial
320,PF,Residencial
321,PF,Residencial
322,,Residencial
323,PF,Comercial
324,PF,Residencial
325,PJ,Industrial
326,,Residencial
327,PF,Residencial
328,PF,Comercial
329,PF,Comercial
330,PF,Residencial
331,,Residencial
332,PJ,Comercial
333,PF,Residencial
334,PF,Industrial
335,PF,Industrial
336,PF,Comercial
337,PJ,Residencial
338,PJ,Comercial
339,PF,Residencial
340,PF,Residencial
341,PF,Residencial
342,PF,Residencial
343,PF,Comercial
344,PF,Comercial
345,,Comercial
346,PF,Residencial
347,PF,Residencial
348,PF,Residencial
349,PF,Industrial
350,PF,Residencial
351,PF,Comercial
352,PJ,Residencial
353,PF,Residencial
354,PF,Comercial
355,,Residencial
356,PF,Comercial
357,PF,Industrial
358,PF,Residencial
359,PJ,Residencial
360,PF,Residencial
361,PF,Industrial
362,PF,Residencial
363,PF,Comercial
364,PF,Comercial
365,PJ,Comercial
366,PF,Residencial
367,PJ,Comercial
368,PJ,Industrial
369,PF,Residencial
370,PF,Residencial
371,PF,Industrial
372,PF,Residencial
373,PF,Comercial
374,PF,Residencial
375,PF,Residencial
376,PF,Comercial
377,PJ,Residencial
378,PF,Residencial
379,PJ,Residencial
380,PF,Residencial
381,PF,Residencial
382,PF,Residencial
383,PF,Industrial
384,PJ,Residencial
385,PJ,Comercial
386,PJ,Residencial
387,PF,Comercial
388,PF,Residencial
389,PJ,Industrial
390,PJ,Residencial
391,PJ,Residencial
392,PF,Residencial
393,PF,Residencial
394,PJ,Residencial
395,PF,Residencial
396,PJ,Comercial
397,PJ,Residencial
398,PF,Residencial
399,PJ,Comercial
400,PJ,Comercial
401,PF,Residencial
402,PJ,Residencial
403,PF,Residencial
404,PJ,Comercial
405,PF,Comercial
406,PJ,Residencial
407,PF,Comercial
408,PF,Comercial
409,PJ,Residencial
410,PF,Comercial
411,PF,Residencial
412,PJ,Residencial
413,PJ,Residencial
414,PF,Residencial
415,PF,Residencial
416,PF,Industrial
417,PF,Residencial
418,PF,Residencial
419,PF,Residencial
420,PJ,Industrial
421,PJ,Residencial
422,PJ,Residencial
423,PF,Residencial
424,PF,Residencial
425,PF,Industrial
426,PF,Industrial
427,PF,Residencial
428,PJ,Industrial
429,PF,Comercial
430,PF,Comercial
431,PF,Residencial
432,PJ,Residencial
433,PF,Residencial
434,PF,Comercial
435,PF,Residencial
436,PJ,Residencial
437,PF,Residencial
438,PJ,Comercial
439,PJ,Residencial
440,PF,Comercial
441,PF,Industrial
442,PJ,Residencial
443,PF,Comercial
444,PF,Residencial
445,PJ,Comercial
446,PJ,Residencial
447,PJ,Comercial
448,PJ,Comercial
449,PF,Industrial
450,PF,Comercial
451,PJ,Residencial
452,PF,Comercial
453,PF,Comercial
454,PJ,Residencial
455,PF,Residencial
456,PF,Industrial
457,PF,Comercial
458,,Comercial
459,PF,Residencial
460,PF,Comercial
461,PF,Residencial
462,PF,Comercial
463,PJ,Residencial
464,PF,Comercial
465,PJ,Industrial
466,PF,Residencial
467,PF,Industrial
468,PJ,Residencial
469,PF,Comercial
470,PJ,Comercial
471,,Residencial
472,PJ,Comercial
473,PF,Comercial
474,PJ,Residencial
475,,Residencial
476,PJ,Comercial
477,PF,Comercial
478,PF,Comercial
479,PJ,Comercial
480,PF,Residencial
481,PF,Comercial
482,PF,Residencial
483,PF,Residencial
484,PF,Residencial
485,PF,Residencial
486,PJ,Residencial
487,,Residencial
488,PF,Comercial
489,PJ,Residencial
490,PJ,Residencial
491,PF,Residencial
492,PF,Residencial
493,PF,Residencial
494,PF,Residencial
495,PF,Comercial
496,PF,Comercial
497,PF,Comercial
498,PF,Residencial
499,PJ,Residencial
500,,Comercial
501,PF,Residencial
502,PF,Residencial
503,PF,Residencial
504,PJ,Residencial
505,PF,Residencial
506,PF,Residencial
507,PJ,Residencial
508,PJ,Residencial
509,PJ,Comercial
510,PJ,Comercial
511,,Comercial
512,PF,Comercial
513,PJ,Industrial
514,PJ,Residencial
515,PF,Residencial
516,PF,Residencial
517,PF,Comercial
518,PJ,Comercial
519,PJ,Residencial
520,PF,Industrial
521,PF,Residencial
522,,Industrial
523,PJ,Residencial
524,PJ,Residencial
525,PJ,Residencial
526,PF,Residencial
527,PF,Residencial
528,PF,Residencial
529,PF,Comercial
530,PJ,Residencial
531,PJ,Residencial
532,PJ,Comercial
533,PJ,Comercial
534,PF,Residencial
535,PJ,Residencial
536,PJ,Residencial
537,PJ,Residencial
538,PF,Comercial
539,,Residencial
540,PF,Residencial
541,PJ,Comercial
542,PF,Residencial
543,PF,Residencial
544,PF,Residencial
545,PF,Industrial
546,PF,Residencial
547,PF,Comercial
548,PF,Residencial
549,PF,Residencial
550,PJ,Comercial
551,PF,Industrial
552,PJ,Comercial
553,PF,Comercial
554,PF,Comercial
555,PJ,Residencial
556,PF,Residencial
557,,Comercial
558,PF,Residencial
559,PJ,Comercial
560,PF,Industrial
561,PJ,Residencial
562,PF,Residencial
563,PF,Comercial
564,PF,Residencial
565,PF,Comercial
566,PF,Residencial
567,PF,Comercial
568,PF,Residencial
569,PJ,Comercial
570,PF,Residencial
571,PF,Residencial
572,PJ,Residencial
573,PF,Comercial
574,PF,Comercial
575,PJ,Residencial
576,PJ,Residencial
577,PF,Residencial
578,PJ,Comercial
579,PF,Comercial
580,PF,Residencial
581,PF,Residencial
582,PJ,Residencial
583,PF,Residencial
584,PF,Residencial
585,PF,Industrial
586,PF,Residencial
587,PF,Comercial
588,PF,Residencial
589,PF,Residencial
590,PF,Comercial
591,PF,Comercial
592,PF,Industrial
593,PF,Residencial
594,PF,Residencial
595,PJ,Comercial
596,PF,Residencial
597,PF,Residencial
598,PF,Residencial
599,PF,Residencial
600,PF,Comercial
601,PF,Residencial
602,PF,Residencial
603,PF,Residencial
604,PF,Residencial
605,PF,Residencial
606,,Residencial
607,PF,Residencial
608,PF,Comercial
609,PF,Residencial
610,PF,Residencial
611,PF,Comercial
612,PJ,Comercial
613,PF,Residencial
614,PF,Residencial
615,PJ,Residencial
616,PJ,Comercial
617,PF,Industrial
618,PF,Comercial
619,PJ,Residencial
620,PJ,Comercial
621,PF,Residencial
622,PF,Residencial
623,PF,Residencial
624,PF,Industrial
625,PF,Residencial
626,PF,Comercial
627,PF,Residencial
628,PJ,Residencial
629,PF,Residencial
630,PF,Residencial
631,PJ,Comercial
632,PJ,Residencial
633,PF,Comercial
634,PF,Comercial
635,PF,Industrial
636,PF,Residencial
637,PF,Residencial
638,PF,Residencial
639,PF,Industrial
640,PF,Industrial
641,PF,Residencial
642,,Comercial
643,PF,Residencial
644,PF,Comercial
645,PF,Residencial
646,PJ,Comercial
647,PF,Residencial
648,PF,Comercial
649,PJ,Comercial
650,PF,Comercial
651,PF,Residencial
652,PF,Residencial
653,PF,Residencial
654,PJ,Residencial
655,PF,Residencial
656,PF,Industrial
657,PF,Residencial
658,PF,Residencial
659,PF,Residencial
660,PF,Residencial
661,PF,Comercial
662,PJ,Residencial
663,PF,Industrial
664,PF,Residencial
665,PF,Industrial
666,PF,Comercial
667,PF,Residencial
668,PF,Industrial
669,PF,Residencial
670,PF,Comercial
671,PF,Residencial
672,PJ,Comercial
673,PF,Comercial
674,PF,Comercial
675,PF,Comercial
676,PJ,Residencial
677,PF,Residencial
678,PF,Residencial
679,PJ,Residencial
680,PJ,Comercial
681,PJ,Residencial
682,,Industrial
683,PF,Comercial
684,,Comercial
685,PJ,Residencial
686,PF,Comercial
687,PF,Industrial
688,PF,Residencial
689,PJ,Comercial
690,PF,Comercial
691,,Residencial
692,PF,Residencial
693,PF,Residencial
694,PF,Residencial
695,PF,Residencial
696,PF,Residencial
697,PF,Residencial
698,PF,Residencial
699,PF,Industrial
700,PF,Residencial
701,PF,Industrial
702,,Residencial
703,PF,Residencial
704,PF,Residencial
705,PF,Residencial
706,PJ,Residencial
707,PF,Comercial
708,PJ,Residencial
709,PF,Comercial
710,PF,Comercial
711,PJ,Residencial
712,PF,Residencial
713,PF,Comercial
714,PF,Residencial
715,PF,Residencial
716,PJ,Industrial
717,PJ,Residencial
718,,Comercial
719,PF,Industrial
720,PJ,Residencial
721,PJ,Residencial
722,PF,Residencial
723,PF,Residencial
724,PJ,Residencial
725,PF,Comercial
726,PJ,Residencial
727,PF,Residencial
728,PJ,Industrial
729,PF,Comercial
730,PF,Comercial
731,PF,Residencial
732,PJ,Comercial
733,PF,Residencial
734,PF,Residencial
735,PF,Residencial
736,PJ,Comercial
737,PF,Residencial
738,PJ,Residencial
739,PF,Residencial
740,PF,Residencial
741,PF,Comercial
742,PF,Comercial
743,PJ,Comercial
744,PF,Residencial
745,PF,Residencial
746,PJ,Residencial
747,PF,Residencial
748,PF,Residencial
749,PJ,Comercial
750,PF,Residencial
751,PF,Residencial
752,PJ,Residencial
753,PF,Residencial
754,PF,Residencial
755,PF,Industrial
756,PJ,Comercial
757,,Industrial
758,PF,Residencial
759,PJ,Residencial
760,PJ,Residencial
761,PF,Residencial
762,PF,Comercial
763,PF,Residencial
764,PJ,Residencial
765,PF,Residencial
766,PF,Residencial
767,PJ,Comercial
768,PJ,Residencial
769,PF,Residencial
770,PJ,Residencial
771,PF,Residencial
772,PJ,Comercial
773,PF,Comercial
774,PF,Industrial
775,PJ,Comercial
776,PF,Residencial
777,PF,Comercial
778,PJ,Residencial
779,PJ,Residencial
780,PF,Comercial
781,PF,Residencial
782,PF,Industrial
783,PF,Residencial
784,PF,Comercial
785,,Comercial
786,PJ,Comercial
787,PF,Comercial
788,PF,Comercial
789,PF,Residencial
790,PJ,Residencial
791,PF,Residencial
792,PF,Comercial
793,PF,Residencial
794,PF,Comercial
795,PF,Residencial
796,PJ,Residencial
797,PJ,Comercial
798,PF,Residencial
799,PF,Residencial
800,PJ,Residencial
801,PJ,Industrial
802,PF,Comercial
803,PF,Residencial
804,PF,Residencial
805,PF,Residencial
806,PJ,Comercial
807,PJ,Comercial
808,PJ,Residencial
809,PF,Residencial
810,PF,Residencial
811,,Comercial
812,PJ,Comercial
813,PF,Residencial
814,PJ,Residencial
815,PJ,Residencial
816,PF,Industrial
817,PF,Residencial
818,PF,Comercial
819,PF,Comercial
820,PF,Residencial
821,PJ,Residencial
822,PF,Residencial
823,PF,Comercial
824,PF,Comercial
825,PF,Comercial
826,PJ,Residencial
827,PF,Residencial
828,PF,Industrial
829,PJ,Comercial
830,PF,Residencial
831,PF,Industrial
832,PF,Comercial
833,,Residencial
834,PF,Comercial
835,PF,Comercial
836,PF,Comercial
837,PJ,Residencial
838,PF,Residencial
839,PF,Industrial
840,PF,Residencial
841,PF,Residencial
842,PF,Residencial
843,PF,Residencial
844,PJ,Comercial
845,PF,Industrial
846,PF,Residencial
847,,Residencial
848,PJ,Residencial
849,PF,Comercial
850,PF,Comercial
851,PF,Residencial
852,PJ,Comercial
853,PF,Comercial
854,PJ,Comercial
855,,Industrial
856,PF,Residencial
857,PF,Comercial
858,PF,Residencial
859,PF,Comercial
860,,Comercial
861,PJ,Comercial
862,PF,Comercial
863,PF,Residencial
864,PF,Residencial
865,PF,Industrial
866,PF,Industrial
867,PF,Residencial
868,PF,Residencial
869,PJ,Residencial
870,PJ,Comercial
871,PF,Comercial
872,PF,Residencial
873,PF,Residencial
874,PF,Comercial
875,PF,Comercial
876,PF,Residencial
877,PJ,Residencial
878,PF,Residencial
879,PF,Residencial
880,PF,Residencial
881,,Comercial
882,PF,Comercial
883,PF,Comercial
884,PF,Comercial
885,PJ,Residencial
886,PF,Residencial
887,PF,Residencial
888,PF,Residencial
889,PF,Comercial
890,PF,Industrial
891,,Residencial
892,PJ,Residencial
893,PJ,Comercial
894,PF,Residencial
895,PF,Residencial
896,PF,Comercial
897,PF,Comercial
898,PJ,Residencial
899,PF,Residencial
900,PF,Comercial
901,PF,Residencial
902,PF,Residencial
903,PF,Comercial
904,PF,Residencial
905,PF,Comercial
906,PJ,Residencial
907,,Industrial
908,PF,Residencial
909,,Residencial
910,PF,Residencial
911,PF,Residencial
912,PF,Comercial
913,,Industrial
914,PF,Residencial
915,PF,Residencial
916,PF,Comercial
917,PF,Comercial
918,PJ,Residencial
919,PJ,Residencial
920,PF,Residencial
921,PJ,Comercial
922,PF,Residencial
923,,Comercial
924,PJ,Residencial
925,PF,Comercial
926,PF,Residencial
927,PF,Residencial
928,PF,Residencial
929,PF,Comercial
930,PF,Residencial
931,PF,Residencial
932,,Residencial
933,PJ,Residencial
934,PF,Comercial
935,PF,Comercial
936,PF,Comercial
937,PF,Residencial
938,PJ,Comercial
939,PF,Residencial
940,PF,Residencial
941,PF,Residencial
942,PF,Residencial
943,PF,Comercial
944,PJ,Comercial
945,PF,Comercial
946,PF,Residencial
947,PF,Residencial
948,PJ,Residencial
949,PJ,Residencial
950,PF,Residencial
951,PF,Residencial
952,PF,Residencial
953,PF,Residencial
954,PJ,Comercial
955,PF,Industrial
956,PF,Industrial
957,PF,Comercial
958,PF,Residencial
959,,Comercial
960,PJ,Comercial
961,PF,Residencial
962,PF,Residencial
963,PF,Comercial
964,PF,Residencial
965,PF,Residencial
966,PF,Residencial
967,PJ,Residencial
968,PF,Residencial
969,PF,Residencial
970,PF,Residencial
971,PF,Residencial
972,PJ,Comercial
973,PJ,Residencial
974,PF,Residencial
975,PF,Residencial
976,PF,Industrial
977,PF,Residencial
978,PF,Residencial
979,PF,Comercial
980,PF,Comercial
981,PF,Residencial
982,PJ,Comercial
983,PF,Residencial
984,PF,Residencial
985,PJ,Residencial
986,PF,Residencial
987,PF,Comercial
988,PF,Residencial
989,PF,Residencial
990,PJ,Comercial
991,,Comercial
992,PF,Residencial
993,PF,Comercial
994,PF,Residencial
995,PF,Comercial
996,PF,Comercial
997,PJ,Industrial
998,PF,Residencial
999,PJ,Residencial
1000,PF,Residencial
